20170101;3.2928;4.645;4.403;4.4062;4.9379;5.9185;6.0596;5.3018;4.3826;3.5943;4.1397;4.0897;4.0219;4.3826;4.4167;4.7106;4.8456;5.1608;5.2041;4.7956;3.9655;3.2237;2.8607;2.7429;2.5669;2.1584;2.1307;1.7413;1.7677;2.1052;2.032;2.0734;1.8591;1.9832;2.3545;2.2666;1.9874;1.9364;2.1593;2.3121;2.7569;2.5923;2.2357;2.8502;2.9467;3.3055;3.7576;3.5707
20170102;3.623;3.643;3.8395;3.8372;4.6959;4.631;4.3584;4.5718;5.2022;5.4938;5.2232;4.5909;4.9207;4.7564;4.1024;2.5828;2.2612;2.0246;2.016;1.7932;1.4789;1.5003;1.3729;1.4971;1.4675;1.1564;1.5003;1.7317;1.5789;1.583;1.7572;2.7611;2.2634;2.0807;1.8982;1.9438;1.2923;1.5003;1.7254;1.6181;2.2284;2.0883;2.3376;1.8951;2.2176;2.5073;2.8066;2.3589
20170103;2.3067;2.9903;3.1845;3.1199;3.4784;3.8637;3.885;3.7917;4.0219;3.4415;2.364;2.45;2.7238;2.8566;2.8321;3.5634;3.351;2.6219;2.0278;2.1361;2.2294;2.1434;1.5267;1.7909;1.6776;1.86;1.8686;2.0628;2.0393;1.825;2.1424;1.911;2.1698;2.1571;1.8705;2.0902;1.7858;1.6785;2.0724;2.1635;2.2972;2.2749;2.4787;2.5213;2.8047;2.2972;2.7971;2.9107
20170104;3.0094;2.9098;3.9624;3.9869;4.1184;4.282;4.5737;4.3954;4.4963;3.694;3.7439;3.7777;3.9869;3.6198;2.898;2.7547;2.4799;2.4841;2.3227;2.0998;2.0966;2.2262;2.2443;2.3927;2.3526;2.3653;2.1402;2.1202;2.1424;2.0533;1.9874;2.1679;2.2857;2.2803;2.0383;2.1848;2.0584;1.7263;1.6372;1.7263;2.2252;2.2612;2.3386;2.4045;2.8343;3.1059;2.8862;2.6773
20170105;2.5341;2.8821;2.2889;2.3344;2.3781;3.8818;4.6214;4.3298;4.5558;4.594;4.353;4.2807;4.3339;3.5593;4.1142;4.282;4.2916;3.8149;3.4743;3.331;3.0062;3.0604;3.1441;2.692;2.7283;2.8875;2.3513;2.6315;2.655;2.3354;2.3812;2.6347;2.6041;2.4691;1.8559;2.1252;1.9928;1.8049;2.4309;2.2708;2.0734;2.1912;2.5105;3.039;3.1973;3.6389;4.3412;4.7956
20170106;4.0283;3.7872;4.0738;4.0537;4.5558;5.0162;4.8911;4.716;5.5756;5.5756;6.0787;5.9587;5.8421;5.496;5.1617;4.5727;4.7192;4.3498;4.5641;4.4899;4.1865;3.5389;3.1304;2.9394;2.4513;2.223;2.2739;2.0628;2.0829;1.9715;2.1138;2.3227;2.4405;2.7015;2.2867;2.0447;2.2462;2.2717;2.3895;2.3312;2.5764;2.4659;2.4608;2.5468;2.6837;2.6805;4.0579;3.8509
20170107;4.353;4.6545;4.9793;4.958;4.9239;5.0185;5.2254;5.3645;5.4059;5.5374;5.5693;5.4696;5.6212;5.5374;5.2327;4.6851;4.5081;3.5497;3.5889;3.1345;2.6783;2.2112;2.0383;2.2794;2.0797;1.9992;1.9482;1.8514;1.6722;1.8495;2.0138;1.8973;1.9237;1.9651;2.137;2.2335;2.3768;2.1561;2.3144;2.9193;3.1782;4.1843;4.6173;4.5622;5.1331;5.3028;5.0853;4.7319
20170108;4.4686;4.4017;5.0939;4.5208;5.1394;5.2149;5.391;5.497;5.2646;5.0312;5.2327;5.8781;6.0469;6.0819;5.4461;5.2359;4.9516;4.6119;4.6068;3.8;3.5007;3.1409;2.9766;2.8002;2.464;2.1647;1.7941;1.6149;1.619;1.8091;2.0988;2.1889;2.1202;1.9482;1.9056;1.9323;1.9651;2.1666;2.3462;2.343;2.6656;2.7378;2.3959;2.4586;2.9607;3.245;4.4113;4.7488
20170109;4.232;3.9996;3.8522;3.9614;4.7319;5.1671;5.0662;5.0716;5.3327;5.3677;5.6903;5.4578;5.4569;5.391;4.9908;4.4126;3.246;2.55;1.513;1.3974;1.251;1.3866;1.3751;1.4757;1.3293;1.4939;1.4407;1.1892;1.2646;1.4662;1.3824;1.1819;1.2732;1.0045;1.0281;1.0727;1.6381;1.0969;0.7393;0.4868;0.9781;1.7168;1.4238;1.6785;2.5009;2.7038;2.9002;3.211
20170110;4.3521;3.1664;3.2609;3.4529;3.5656;3.3428;3.3765;3.2046;3.3606;3.3988;3.1887;3.5529;4.2575;3.9974;3.1536;3.0467;2.8098;2.4936;2.1679;1.9947;2.0829;1.9374;1.8514;1.5194;1.8155;1.6445;1.4675;1.4525;1.5225;1.6381;1.5576;0.995;1.8218;1.6276;2.0584;2.0988;1.7094;1.4016;1.6458;1.6636;1.7763;2.208;2.0151;2.1116;1.7168;1.7572;2.3621;2.2007
